Country of Foreign Investor,Number of Investors,Number of Parcels,Total Acres,"Total Value ($1,000)"
998-No Foreign Investor Listed,32,291,"296,708","1,263,622"
999-No Predominant Country Code,9,34,"225,524","238,198"
Argentina,3,4,"4,349","10,502"
Austria,2,5,913,"1,011"
Belgium,4,16,"111,463","62,586"
British Virgin Islands,7,7,"5,949","20,107"
Canada,50,185,"666,935","794,326"
Cayman Islands,4,11,"31,587","57,875"
Chile,1,1,410,"1,639"
China,4,4,250,"4,560"
Cook Islands,1,1,160,"1,331"
Denmark,4,10,"26,694","45,265"
France,3,5,"1,805","13,608"
Germany,29,35,"86,554","1,175,515"
Italy,87,"1,366","448,523","976,110"
Japan,1,1,119,260
Luxembourg,6,20,"78,433","138,371"
Malaysia,2,2,185,"1,621"
Mexico,12,13,"5,898","8,271"
Netherlands,10,14,"3,435","9,975"
New Zealand,1,1,116,"1,000"
Portugal,40,115,"144,073","353,599"
Saudi Arabia,1,1,147,625
Singapore,1,1,77,370
Spain,3,17,"29,770","147,021"
Sweden,1,1,850,600
Switzerland,2,2,84,65
United Arab Emirates,1,2,"39,817","7,337"
United Kingdom,9,17,"25,509","26,847"
Venezuela,1,1,64,500
Subtotal 2/,331,"2,183","2,236,401","5,362,716"
US/998-No Foreign Investor Listed,17,77,"219,101","438,148"
US/999-No Predominant Country Code,3,15,"7,434","32,871"
US/Argentina,2,2,537,"2,784"
US/Australia,1,1,50,43
US/Austria,2,2,337,706
US/Belgium,1,4,187,"1,613"
US/British Virgin Islands,1,1,466,"3,650"
US/Canada,18,46,"298,831","445,917"
US/Cayman Islands,3,13,"2,571","11,197"
US/Finland,1,3,"12,521","55,750"
US/France,1,1,"1,624","2,657"
US/Germany,14,50,"31,163","85,094"
US/India,1,1,330,990
US/Ireland,2,2,775,356
US/Italy,5,7,"4,147","5,100"
US/Japan,5,5,"2,527","11,137"
US/Luxembourg,1,1,100,710
US/Mexico,2,2,23,400
US/Netherlands,1,2,724,"1,145"
US/Panama,1,1,0,5
US/Singapore,1,7,88,"4,314"
US/Spain,5,5,"5,313","8,394"
US/Switzerland,2,3,549,"3,011"
US/United Kingdom,1,1,448,"1,998"
Subtotal 3/,91,252,"589,848","1,117,990"
Total All Land Acquisitions,422,"2,435","2,826,249","6,480,706"